technique,context_length,model,cache_size,travel_planning,html_to_tsv,pseudo_to_code
streamingllm,8k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,21.508655616,37.015916032,
streamingllm,8k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,24.575520256,41.126806016,
streamingllm,5k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,,31.205101056,16.304398848
streamingllm,5k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,,31.205101056,16.304398848
streamingllm,5k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,,35.499814912,17.527821824
streamingllm,5k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,,35.49935616,17.527821824
streamingllm,2k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,18.63203072,32.718563328,18.082545152
streamingllm,2k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,18.567105024,32.715114496,18.09044224
streamingllm,2k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,18.568110592,32.716683264,18.09044224
streamingllm,2k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,20.739264,36.384680448,19.9485312
streamingllm,2k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,20.739264,36.38320384,19.9485312
streamingllm,2k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,20.736264704,36.375364096,19.9281536
streamingllm,2k,Yarn-Qwen3-8B,n_local_4092_n_init_4,,38.721371136,23.789020672
pyramidkv,8k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,20.705924608,36.205479424,
pyramidkv,8k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,19.851147776,35.399519744,
pyramidkv,8k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,23.525446144,40.060906496,
pyramidkv,8k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,22.430418432,39.0128768,
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,,30.390500864,16.305336832
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,31.201912832,16.305336832
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,,29.586187776,15.574752768
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,,34.43382784,17.527821824
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,35.501617152,17.527821824
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,,33.385074688,16.72943872
pyramidkv,2k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_avgpool,,67.258399744,17.270865408
pyramidkv,2k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_avgpool,17.76041216,31.894219264,17.54420992
pyramidkv,2k,Qwen2.5-7B-Instruct,w2048_c8192_k7_avgpool,19.389115904,67.265731072,18.09044224
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,17.765303808,31.901704704,17.552107008
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,18.567367168,32.716936192,18.09044224
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,16.95118592,31.094313984,16.618062336
pyramidkv,2k,Qwen2.5-7B-Instruct,w256_c2048_k7_avgpool,17.764077056,31.895739392,17.552107008
pyramidkv,2k,Llama-3.1-8B-Instruct,w2048_c8192_k7_avgpool,21.825263104,76.32894208,19.9485312
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,19.684116992,35.306957824,19.2669568
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,20.734744064,36.375960064,19.9485312
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,18.590739968,34.260176896,18.211292672
pyramidkv,2k,Llama-3.1-8B-Instruct,w256_c2048_k7_avgpool,19.688693248,35.31115264,19.2669568
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k7_avgpool,19.12882432,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k7_avgpool,18.8532352,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k7_avgpool,19.690118656,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k7_avgpool,19.135004672,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_avgpool,21.820887552,76.302838272,19.9281536
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_avgpool,18.84993536,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k7_avgpool,19.124468224,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k7_avgpool,19.691108864,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_avgpool,18.8537216,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_avgpool,19.689995776,35.3004288,19.2465792
pyramidkv,2k,Yarn-Qwen3-8B,w256_c2048_k7_avgpool,23.504875008,38.390362112,23.023560192
baseline,8k,Qwen2.5-7B-Instruct,default,16.509554176,33.418973696,
INT4,8k,Qwen2.5-7B-Instruct,default,7.61562112,23.7435776,
INT8,8k,Qwen2.5-7B-Instruct,default,10.899255808,35.937609216,
baseline,8k,Llama-3.1-8B-Instruct,default,18.32145664,36.931703296,
INT4,8k,Llama-3.1-8B-Instruct,default,8.030265856,26.576328192,
INT8,8k,Llama-3.1-8B-Instruct,default,11.35426816,35.149795328,
baseline,5k,Qwen2.5-7B-Instruct,default,,28.165382656,15.513746944
INT4,5k,Qwen2.5-7B-Instruct,default,,18.48998656,7.61562112
INT8,5k,Qwen2.5-7B-Instruct,default,,28.143177216,9.509426176
baseline,5k,Llama-3.1-8B-Instruct,default,,31.803817984,16.413956096
INT4,5k,Llama-3.1-8B-Instruct,default,,21.44813568,8.030265856
INT8,5k,Llama-3.1-8B-Instruct,default,,28.743819776,9.53996288
baseline,2k,DeepSeek-R1-Distill-Qwen-7B,default,16.472832512,29.532211712,15.897142272
INT4,2k,DeepSeek-R1-Distill-Qwen-7B,default,6.795555328,19.856815616,6.230636544
INT8,2k,DeepSeek-R1-Distill-Qwen-7B,default,,29.97888256,9.930340864
baseline,2k,Qwen2.5-7B-Instruct,default,16.473132032,29.53309184,15.895904768
INT4,2k,Qwen2.5-7B-Instruct,default,7.61562112,19.857695744,7.61562112
INT8,2k,Qwen2.5-7B-Instruct,default,10.845321216,30.3189632,9.931974656
baseline,2k,Llama-3.1-8B-Instruct,default,17.599050752,32.598306304,16.940353024
INT4,2k,Llama-3.1-8B-Instruct,default,8.030265856,22.2424192,8.030265856
INT8,2k,Llama-3.1-8B-Instruct,default,11.026661888,29.732061696,10.137232896
baseline,2k,DeepSeek-R1-Distill-Llama-8B,default,17.591668736,32.588737536,16.935816192
INT4,2k,DeepSeek-R1-Distill-Llama-8B,default,7.234535424,22.233362432,6.580441088
INT8,2k,DeepSeek-R1-Distill-Llama-8B,default,11.016791552,29.719430144,10.122366464
baseline,2k,Yarn-Qwen3-8B,default,18.792913408,,18.29849856
INT4,2k,Yarn-Qwen3-8B,default,8.488945152,,7.991640576
minference,8k,Qwen2.5-7B-Instruct,default,17.008027136,40.569552384,
minference,8k,Llama-3.1-8B-Instruct,default,19.376471552,49.892246016,
minference,5k,Qwen2.5-7B-Instruct,default,,33.253476864,15.621519872
minference,5k,Llama-3.1-8B-Instruct,default,,41.582657536,16.628681728
minference,2k,Qwen2.5-7B-Instruct,default,16.957698048,35.154383872,16.155173888
minference,2k,Llama-3.1-8B-Instruct,default,18.548780032,42.865619456,17.463516672
streamingllm_original,8k,Qwen2.5-7B-Instruct,default,16.509554176,33.418973696,
streamingllm_original,8k,Llama-3.1-8B-Instruct,default,18.32145664,36.931703296,
streamingllm_original,5k,Qwen2.5-7B-Instruct,default,,28.165382656,15.513746944
streamingllm_original,5k,Llama-3.1-8B-Instruct,default,,31.803817984,16.413956096
streamingllm_original,2k,Qwen2.5-7B-Instruct,default,16.473132032,29.53309184,15.895904768
streamingllm_original,2k,Llama-3.1-8B-Instruct,default,17.599050752,32.598306304,16.940353024
duoattn,8k,Llama-3.1-8B-Instruct,sp0.5_pf32768,18.997388288,34.310388736,
duoattn,5k,Llama-3.1-8B-Instruct,sp0.7_pf32768,,,16.678188032
duoattn,5k,Llama-3.1-8B-Instruct,sp0.5_pf32768,,29.51295744,16.755431936
duoattn,2k,Llama-3.1-8B-Instruct,sp0.5_pf32768,17.998073856,30.267083264,17.431315456
duoattn,2k,DeepSeek-R1-Distill-Llama-8B,sp0.5_pf32768,17.998212608,30.302419456,17.419519488
snapkv,8k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,21.510550016,37.015714304,
snapkv,8k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,20.25311488,35.78431744,
snapkv,8k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,24.578172416,41.126806016,
snapkv,8k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,22.942393856,39.516878848,
snapkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,,31.20256768,16.305336832
snapkv,5k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,,29.971720704,16.175416832
snapkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,31.20102656,16.305336832
snapkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,,35.497930752,17.527821824
snapkv,5k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,,33.891067904,17.349981696
snapkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,35.497930752,17.527821824
snapkv,2k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_maxpool,17.73168896,31.891449856,17.54420992
snapkv,2k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_maxpool,19.402245632,67.166072832,17.270865408
snapkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k7_maxpool,18.565592576,32.714330112,18.09044224
snapkv,2k,Qwen2.5-7B-Instruct,w32_c1024_k7_maxpool,17.315208704,31.478060032,16.688768512
snapkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,18.567367168,32.715121664,18.09044224
snapkv,2k,Qwen2.5-7B-Instruct,w256_c2048_k7_maxpool,17.73382912,31.891462144,17.552107008
snapkv,2k,Qwen2.5-7B-Instruct,w2048_c8192_k7_maxpool,19.389115904,67.175657472,18.09044224
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k7_maxpool,20.735366656,36.379064832,19.9485312
snapkv,2k,Llama-3.1-8B-Instruct,w32_c1024_k7_maxpool,19.105699328,34.764718592,18.72169728
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,20.734744064,36.376627712,19.9485312
snapkv,2k,Llama-3.1-8B-Instruct,w256_c2048_k7_maxpool,19.64796672,35.3049216,19.2669568
snapkv,2k,Llama-3.1-8B-Instruct,w2048_c8192_k7_maxpool,21.825263104,76.253448704,19.9485312
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_maxpool,18.825611776,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_maxpool,18.835481088,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k7_maxpool,19.098896896,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k7_maxpool,18.832431616,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k7_maxpool,19.098947584,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k7_maxpool,19.656252928,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k7_maxpool,19.639751168,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_maxpool,19.644368896,35.29305344,19.2465792
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k7_maxpool,19.098241536,,
snapkv,2k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_maxpool,21.820887552,76.217291264,19.9281536
snapkv,2k,Yarn-Qwen3-8B,w256_c2048_k7_maxpool,23.473811968,,
